name,city,price,rooms,area,price_per_m2,link,forma_wlasnosci,stan_wykonczenia,pietro,balkon,czynsz,parking,ogrzewanie
2-pokojowe mieszkanie 42m2 + ogródek Bez Prowizji,Warszawa,Zapytajocenę,2 pokoje,42.25,,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-42m2-ogrodek-bez-prowizji-ID4e9Dw,pełna własność,do wykończenia,1/7,"taras, ogródek",,garaż/miejsce parkingowe,
Piękne mieszkanie z ogródkiem jak mały Domek !!!,Warszawa,910 000 ,3 pokoje,91.2,9978 ,https://www.otodom.pl/oferta/piekne-mieszkanie-z-ogrodkiem-jak-maly-domek-ID4k8BE,pełna własność,,parter/2,"balkon, ogródek, taras",550,garaż/miejsce parkingowe,gazowe
2 pok idealna inwestycja,Warszawa,400 000 ,2 pokoje,42,9524 ,https://www.otodom.pl/oferta/2-pok-idealna-inwestycja-ID4kN2H,pełna własność,,,balkon,,garaż/miejsce parkingowe,
Nowe Mieszkanie i Inwestycja w Starej Miłosnej,Warszawa,419 000 ,2 pokoje,37,11 324 ,https://www.otodom.pl/oferta/nowe-mieszkanie-i-inwestycja-w-starej-milosnej-ID4kmqI,udział,,1/2,"balkon, taras",,,
3 pok nowe mieszkanie. PROMOCJE!,Warszawa,445 000 ,3 pokoje,54,8241 ,https://www.otodom.pl/oferta/3-pok-nowe-mieszkanie-promocje-ID4kN2z,pełna własność,,,balkon,,garaż/miejsce parkingowe,
1-pokojowe mieszkanie 31m2 + balkon Bez Prowizji,Warszawa,520 998 ,1 pokój,31.31,16 640 ,https://www.otodom.pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bez-prowizji-ID4jwZR,pełna własność,do wykończenia,1/8,balkon,,garaż/miejsce parkingowe,
2 mieszkania w 1 przy Lesie,Warszawa,489 000 ,3 pokoje,42,11 643 ,https://www.otodom.pl/oferta/2-mieszkania-w-1-przy-lesie-ID4kN2o,pełna własność,do zamieszkania,parter/4,,550,,miejskie
Mieszkanie 3 pokoje Ursus/ 20min do centrum/PKP,Warszawa,628 000 ,3 pokoje,52.18,12 035 ,https://www.otodom.pl/oferta/mieszkanie-3-pokoje-ursus-20min-do-centrum-pkp-ID4k5xb,pełna własność,do zamieszkania,2/3,balkon,700,garaż/miejsce parkingowe,miejskie
"Kawalerka na Muranowie, świeżo po remoncie!",Warszawa,484 900 ,1 pokój,26.34,18 409 ,https://www.otodom.pl/oferta/kawalerka-na-muranowie-swiezo-po-remoncie-ID4kHXC,pełna własność,do zamieszkania,parter/9,,500,,miejskie
4-pokojowe mieszkanie 77m2 + taras Bez Pośredników,Warszawa,694 054 ,4 pokoje,77.32,8976 ,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-77m2-taras-bez-posrednikow-ID4fT83,pełna własność,do wykończenia,3/7,"taras, balkon",,garaż/miejsce parkingowe,
3-pokojowe mieszkanie 59m2 + 2 balkony,Warszawa,Zapytajocenę,3 pokoje,59.62,,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-59m2-2-balkony-ID4fT7Z,pełna własność,do wykończenia,2/7,balkon,,garaż/miejsce parkingowe,
"BEZPOŚREDNIO 3 pokoje 77,80 m2 metro klimatyzacja",Warszawa,719 000 ,3 pokoje,77.8,9242 ,https://www.otodom.pl/oferta/bezposrednio-3-pokoje-77-80-m2-metro-klimatyzacja-ID4kHXv,pełna własność,do zamieszkania,2/2,balkon,1100,garaż/miejsce parkingowe,gazowe
Dwupokojowe mieszkanie na ogrodzonym osiedlu,Warszawa,699 000 ,2 pokoje,51,13 706 ,https://www.otodom.pl/oferta/dwupokojowe-mieszkanie-na-ogrodzonym-osiedlu-ID4kzBy,pełna własność,do zamieszkania,1/3,"balkon, ogródek",540,,miejskie
2 Nieprzechodnie Pokoje Ursynów Mokotów 50m 2018 r,Warszawa,699 000 ,2 pokoje,50.28,13 902 ,https://www.otodom.pl/oferta/2-nieprzechodnie-pokoje-ursynow-mokotow-50m-2018-r-ID4kK90,pełna własność,do zamieszkania,5/6,balkon,,garaż/miejsce parkingowe,
Apartament Dla Konesera W Kameralnej Inwestycji,Warszawa,1 568 000 ,2 pokoje,78.4,20 000 ,https://www.otodom.pl/oferta/apartament-dla-konesera-w-kameralnej-inwestycji-ID4jGt0,pełna własność,do zamieszkania,4/5,balkon,1000,garaż/miejsce parkingowe,miejskie
Piękny Widok * Duży Balkon * Drewno na podłodze *,Warszawa,359 000 ,2 pokoje,31,11 581 ,https://www.otodom.pl/oferta/piekny-widok-duzy-balkon-drewno-na-podlodze-ID4kN1T,,do zamieszkania,4/10,balkon,,,
Super lokalizacja/ Zamknięte osiedle,Warszawa,660 000 ,2 pokoje,50,13 200 ,https://www.otodom.pl/oferta/super-lokalizacja-zamkniete-osiedle-ID4kN1R,pełna własność,do zamieszkania,3/3,,520,,gazowe
"2-pokojowe mieszkanie 40,1m, balkon, odbiór 3Q2023",Warszawa,475 000 ,2 pokoje,40.1,11 845 ,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-40-1m-balkon-odbior-3q2023-ID4k3c9,pełna własność,do wykończenia,7/7,balkon,,garaż/miejsce parkingowe,miejskie
Nowe 2pok-32m2/Metro /Bezpośrednio/Balkon,Warszawa,572 800 ,2 pokoje,32,17 900 ,https://www.otodom.pl/oferta/nowe-2pok-32m2-metro-bezposrednio-balkon-ID4kKRj,pełna własność,do zamieszkania,8/10,balkon,297,garaż/miejsce parkingowe,miejskie
Dwa pokoje. Ursus. Cegła. Niska Cena.,Warszawa,399 000 ,2 pokoje,38,10 500 ,https://www.otodom.pl/oferta/dwa-pokoje-ursus-cegla-niska-cena-ID4kKHs,pełna własność,do zamieszkania,1/4,balkon,550,,miejskie
"Wspólna Droga, 44 m2, 2 pokoje sprzedam",Warszawa,482 000 ,2 pokoje,44,10 955 ,https://www.otodom.pl/oferta/wspolna-droga-44-m2-2-pokoje-sprzedam-ID4kN0o,,do remontu,2/2,,,,
4-pokojowe mieszkanie 86m2 + balkon Bez Prowizji,Warszawa,1 223 921 ,4 pokoje,86.68,14 120 ,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-86m2-balkon-bez-prowizji-ID4jwZT,pełna własność,do wykończenia,5/8,balkon,,garaż/miejsce parkingowe,
Nowe 2023r_Wykończone_10 min centrum_UW_WUM_Polite,Warszawa,600 000 ,2 pokoje,40,15 000 ,https://www.otodom.pl/oferta/nowe-2023r-wykonczone-10-min-centrum-uw-wum-polite-ID4kN0k,pełna własność,do zamieszkania,2/2,balkon,400,garaż/miejsce parkingowe,miejskie
"Superoferta, 10 minut od Wat, Mieszkanie 32m2",Warszawa,450 000 ,1 pokój,32.6,13 804 ,https://www.otodom.pl/oferta/superoferta-10-minut-od-wat-mieszkanie-32m2-ID4ketG,pełna własność,do zamieszkania,parter/6,balkon,380,,miejskie
3 pokoje blisko stacji metra i kładki do Centrum!,Warszawa,840 000 ,3 pokoje,58.56,14 344 ,https://www.otodom.pl/oferta/3-pokoje-blisko-stacji-metra-i-kladki-do-centrum-ID4kkV5,pełna własność,do zamieszkania,1/5,,604,garaż/miejsce parkingowe,miejskie
Ustawna kawalerka przy os. Majdańska na Grochowie!,Warszawa,363 000 ,1 pokój,28.3,12 827 ,https://www.otodom.pl/oferta/ustawna-kawalerka-przy-os-majdanska-na-grochowie-ID4hUJE,spółdzielcze wł. z KW,do zamieszkania,4/4,balkon,380,,miejskie
"Słoneczne 2 pokoje do wprowadzenia, niski czynsz!",Warszawa,579 000 ,2 pokoje,46.17,12 541 ,https://www.otodom.pl/oferta/sloneczne-2-pokoje-do-wprowadzenia-niski-czynsz-ID4i5pY,pełna własność,do zamieszkania,5/12,balkon,550,,miejskie
"Funkcjonalne, ładne 3 pokoje przy Galerii Mokotów!",Warszawa,1 179 000 ,3 pokoje,68.94,17 102 ,https://www.otodom.pl/oferta/funkcjonalne-ladne-3-pokoje-przy-galerii-mokotow-ID4kkZp,pełna własność,do zamieszkania,5/7,balkon,610,,miejskie
3 pokoje z ogrodem 2 lata po gen. remoncie!,Warszawa,690 000 ,3 pokoje,66.6,10 360 ,https://www.otodom.pl/oferta/3-pokoje-z-ogrodem-2-lata-po-gen-remoncie-ID4jeKl,spółdzielcze wł. z KW,do zamieszkania,parter/4,"balkon, ogródek",870,,miejskie
"Okazja! Bezpośrednio,3-pokojowe,48m2,Praga-Południ",Warszawa,585 000 ,3 pokoje,48,12 188 ,https://www.otodom.pl/oferta/okazja-bezposrednio-3-pokojowe-48m2-praga-poludni-ID4kHV6,pełna własność,do zamieszkania,2/3,balkon,450,,miejskie
Kompaktowe M2/Blisko Metra/Ciche,Warszawa,779 000 ,2 pokoje,34.9,22 321 ,https://www.otodom.pl/oferta/kompaktowe-m2-blisko-metra-ciche-ID4kCJ6,pełna własność,do zamieszkania,2/7,,,,miejskie
3-pokojowe mieszkanie 84m2 + 2 tarasy Bez Prowizji,Warszawa,Zapytajocenę,3 pokoje,84.73,,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-84m2-2-tarasy-bez-prowizji-ID4hFi2,pełna własność,do wykończenia,8/8,taras,,garaż/miejsce parkingowe,
Ekskluzywne mieszkanie w wysokim standardzie,Warszawa,514 000 ,2 pokoje,40.73,12 620 ,https://www.otodom.pl/oferta/ekskluzywne-mieszkanie-w-wysokim-standardzie-ID4kN0c,pełna własność,do zamieszkania,parter/3,,514,garaż/miejsce parkingowe,miejskie
Elegancko wykończona kawalerka- osiedle Wilno,Warszawa,460 000 ,1 pokój,32.23,14 272 ,https://www.otodom.pl/oferta/elegancko-wykonczona-kawalerka-osiedle-wilno-ID4kN0b,,do zamieszkania,1/3,balkon,,,miejskie
4-pokojowe mieszkanie 96m2 + balkon,Warszawa,1 585 650 ,4 pokoje,96.1,16 500 ,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-96m2-balkon-ID4kgv7,pełna własność,do wykończenia,1/2,balkon,,garaż/miejsce parkingowe,
4-pokojowe mieszkanie 64m2 + loggia,Warszawa,Zapytajocenę,4 pokoje,64.76,,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-64m2-loggia-ID4c9jJ,pełna własność,do wykończenia,1/4,,,garaż/miejsce parkingowe,
3-pokojowe mieszkanie 60m2 + balkon Bez Prowizji,Warszawa,992 310 ,3 pokoje,60.14,16 500 ,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-60m2-balkon-bez-prowizji-ID4kgwj,pełna własność,do wykończenia,1/2,balkon,,garaż/miejsce parkingowe,
3-pokojowe mieszkanie 64m2 + loggia Bez Prowizji,Warszawa,Zapytajocenę,3 pokoje,64.48,,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-64m2-loggia-bez-prowizji-ID4fC3d,pełna własność,do wykończenia,1/5,,,garaż/miejsce parkingowe,
